inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
16,32,365,0,353,1,32,0,32,0,0,0,in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
17,34,386,0,353,1,34,0,34,0,0,0,in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
18,36,407,0,353,1,36,0,36,0,0,0,in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
19,38,428,0,353,1,38,0,38,0,0,0,in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
20,40,449,0,353,1,40,0,40,0,0,0,in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
21,42,470,0,353,1,42,0,42,0,0,0,in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
22,44,491,0,353,1,44,0,44,0,0,0,in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
23,46,512,0,353,1,46,0,46,0,0,0,in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
24,48,533,0,353,1,48,0,48,0,0,0,in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
25,50,554,0,353,1,50,0,50,0,0,0,in24 == CONST_66 && in24 != CONST_65 && in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
26,52,575,0,353,1,52,0,52,0,0,0,in25 == CONST_70 && in25 != CONST_69 && in24 == CONST_66 && in24 != CONST_65 && in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
27,54,596,0,353,1,54,0,54,0,0,0,in26 != CONST_74 && in26 != CONST_73 && in25 == CONST_70 && in25 != CONST_69 && in24 == CONST_66 && in24 != CONST_65 && in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
28,56,617,0,415,1,56,0,56,0,0,0,in27 == CONST_66 && in27 != CONST_65 && in26 != CONST_74 && in26 != CONST_73 && in25 == CONST_70 && in25 != CONST_69 && in24 == CONST_66 && in24 != CONST_65 && in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
29,58,638,0,415,1,58,0,58,0,0,0,in28 == CONST_70 && in28 != CONST_69 && in27 == CONST_66 && in27 != CONST_65 && in26 != CONST_74 && in26 != CONST_73 && in25 == CONST_70 && in25 != CONST_69 && in24 == CONST_66 && in24 != CONST_65 && in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
30,60,659,0,415,1,60,0,60,0,0,0,in29 != CONST_74 && in29 != CONST_73 && in28 == CONST_70 && in28 != CONST_69 && in27 == CONST_66 && in27 != CONST_65 && in26 != CONST_74 && in26 != CONST_73 && in25 == CONST_70 && in25 != CONST_69 && in24 == CONST_66 && in24 != CONST_65 && in23 != CONST_74 && in23 != CONST_73 && in22 == CONST_70 && in22 != CONST_69 && in21 == CONST_66 && in21 != CONST_65 && in20 != CONST_74 && in20 != CONST_73 && in19 == CONST_70 && in19 != CONST_69 && in18 == CONST_66 && in18 != CONST_65 && in17 != CONST_74 && in17 != CONST_73 && in16 == CONST_70 && in16 != CONST_69 && in15 == CONST_66 && in15 != CONST_65 && in14 != CONST_74 && in14 != CONST_73 && in13 == CONST_70 && in13 != CONST_69 && in12 == CONST_66 && in12 != CONST_65 && in11 != CONST_74 && in11 != CONST_73 && in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
