inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
11,9,1678,0,231,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
12,9,1678,0,358,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
13,9,1678,0,358,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
14,9,1678,0,358,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
15,9,1678,0,358,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
16,9,1678,0,358,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
17,9,1678,0,358,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
18,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
19,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
20,9,1678,0,360,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
